team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
OAK,23,16,629,16,101,629,89.4,125,8
GB,12,16,697,6,115,697,89.2,136,15
NO,20,16,698,26,107,698,88.2,149,16
PIT,25,16,617,17,104,617,87.9,135,14
KC,16,16,601,14,91,601,87.9,125,20
PHI,24,16,662,27,101,662,87.6,146,18
CHI,6,16,591,20,97,591,87.4,133,16
TEN,31,16,554,9,108,554,86.7,132,15
DAL,9,16,539,17,98,539,86.5,130,15
WAS,32,16,635,24,121,635,86.5,158,13
NE,19,16,595,26,106,595,86.4,147,15
BLT,3,16,713,22,143,713,86.3,180,15
JAX,15,16,699,28,137,699,86.1,180,15
ATL,2,16,593,33,84,593,85.9,142,25
CIN,7,16,625,12,109,625,85.8,149,28
NYG,21,16,624,29,125,624,85.3,169,15
NYJ,22,16,610,29,116,610,84.7,166,21
DET,11,16,655,19,140,655,84.4,182,23
TB,30,16,643,38,141,643,83.4,196,17
BUF,4,16,572,19,139,572,83.2,175,17
CAR,5,16,608,25,143,608,82.7,189,21
CLV,8,16,660,30,134,660,82.6,197,33
MIN,18,16,634,44,126,634,82.2,198,28
MIA,17,16,521,33,118,521,81.9,170,19
LA,26,16,594,24,133,594,81.7,187,30
DEN,10,16,628,28,157,628,81.6,208,23
HST,13,16,630,33,152,630,81.3,210,25
ARZ,1,16,691,52,157,691,80.8,237,28
SEA,29,16,648,37,178,648,79.9,238,23
SF,28,16,591,18,172,591,79.7,215,25
SD,27,16,623,42,169,623,78.7,238,27
IND,14,16,667,44,190,667,78.3,262,28
